No;Pertanyaan;Fakta;Dokumen;Keluaran System;TP;TN;FP;FN
38;Kapan Rusia memobilisasi pasukannya untuk melindungi Serbia?;30 Juli 1914;11 November 1918,28 Juni 1919,28 Juni 1914,23 Juli 1914,28 Juni 1914,11 Novemver 1918,28 September 1918,4 November 1918,11 November 1918,28 Juli 1914,11 November 1918,28 Juni 1914,11 November 1918,16 Juni 1913,28 Juni 1914,28 Juli 1914,30 Juli 1914,4 Agustus 1914,9 September 1914,30 Agustus 1914,12 September 1914,1 Juli 1916,22 April 1915,15 September 1916,1 Juli 1916,1 Juni 1916,7 Januari 1916,29 Mei 1917,19 November 1916,29 September 1918,26 Oktober 1917,6 November 1918,27 Agustus 1916,6 Desember 1916,9 Desember 1917,9 Maret 1918,27 Maret 1918,7 Mei 1918,10 November 1918,9 Februari 1918,3 Maret 1918,3 Mei 1917,7 Mei 1915,3 Februari 1917,6 April 1917,21 Maret 1918,10 April 1918,5 November 1917,8 Agustus 1918,11 November 1918,29 September 1918,11 November 1918,28 Juni 1919,24 Juli 1923,11 November 1918,23 Agustus 1923,23 Oktober 1911,15 September 1916,30 April 1915,1 November 1914,9 November 1918,28 Juni 1919,3 Mei 1915,8 Desember 1915,1 November 1921,11 November 1918,13 December 2011,20 November 1914,20 September 1914,4 August 1914,9 February 2010,22 August 2009,5 July 2012,11 November 2009,30 October 2007,3 October 2010,27 September 2010,2 August 1914,22 July 1917,8 May 2011,12 December 2008,27 July 2010,29 October 2009,8 August 1918,12 December 2008,17 June 2007,24 October 2009,17 June 2007,3 December 2008,20 November 2009,20 November 2009,6 December 2012,15 February 2010,6 December 2012,13 June 2005,6 October 2007,7 March 2007,17 November 2009,30 March 2008,10 March 2007,10 December 2008,15 June 2010,1 September 1924,15 June 2010,28 October 1915,17 November 2009,22 August 2009,5 December 2009,20 January 2008,12 November 2009,17 November 2009,7 May 2010,17 November 2009,17 November 2009,17 November 2009,28 November 2006,17 September 2000,18 May 2010,12 November 2009,4 July 2008,12 November 2009,15 June 2010,27 July 1918,5 November 1918,22 August 2009,26 April 1916,2 May 2008,22 October 2008,22 October 2008,9 May 2008,31 March 2012,14 August 2009,10 May 2006,4 October 2010,12 June 2005,3 August 2007,2 November 2007,21 April 2009,25 February 2007,27 May 2005,30 December 2008,28 October 1915,26 October 1918,30 October 1918,15 November 1918,28 June 1914,30 December 2008,9 May 1992,28 September 2006,30 December 2008,17 November 2009,18 August 1918,30 December 2008,15 March 1920,5 March 2001,6 February 2008,27 August 2007,18 July 1918,6 November 2009,17 November 2009,31 October 2007,9 November 2011,12 November 2009,12 November 2009,28 July 2005,30 December 2008,30 December 2008,23 June 2022,23 June 2022,01 Aug 2016,1 Agustus 1914,28 Juni 1914,23 Jun 2022,23 Jun 2022,11 November 1918,28 Juni 1914,28 Juli 1914,11 November 1918,28 Juni 1919,24 Juni 2022,28 Juni 1914,28 Juni 1914,28 Juni 1914,23 Juli 1914,28 Juli 1914,30 Juli 1914,1 Agustus 1914,3 Agustus 1914,4 Agustus 1914,28 Juli 1914,11 November 1918,28 Juli 1914,11 November 1918,28 Juni 1914,11 November 1918,28 Juli 1914,11 November 1918,8 Juni 1914,28 Juli 1914,4 Agustus 1914,31 Januari 1971,7 Mei 1915,10 April 1917,29 September 1918,30 Oktober 1918,4 November 1918,11 November 1918,28 Juni 1919;11-Nov-18;0;0;1;0
39;Kapan Britania Raya menyatakan perang terhadap Jerman?;04 Agustus 1914;4 Agustus 1914,28 Juli 1914,11 November 1918,23 June 2022,23 June 2022,04 Aug 2021,4 Agustus 1914,23 Jun 2022,23 Jun 2022,28 Juli 1914,11 November 1918,11 November 1918,28 Juni 1914,28 Juni 1914,23 Juli 1914,28 Juli 1914,30 Juli 1914,1 Agustus 1914,3 Agustus 1914,4 Agustus 1914,26 September 1815,28 Juni 1914,28 Juni 1914,23 Juli 1914,28 Juli 1914,30 Juli 1914,1 Agustus 1914,3 Agustus 1914,4 Agustus 1914;04 Agustus 1914;1;0;0;0
40;Kapan Selandia Baru menduduki Samoa Jerman?;30 Agustus 1914;30 Agustus 1914,30 Agustus 1914,26 September 2016,7 Februari 2019,17 Januari 1853,26 September 1907,11 Desember 1931,25 November 1947,13 Desember 1986,6 Februari 1840,21 Mei 1840,3 September 1939,7 April 2008,17 February 2008,17 February 2008,20 February 2008,25 November 2007,19 September 2010,1 July 2009,26 April 2011,14 May 2012,5 June 2012,14 April 2011,20 April 2012,14 April 2011,2 November 2011,24 January 2011,16 February 2008,24 January 2011,22 April 2009,25 April 2009,22 April 2009,30 April 2010,23 March 2011,7 January 2011,7 January 2011,7 January 2011,7 January 2011,7 January 2011,7 January 2011,7 January 2011,7 January 2011,2 February 2011,7 January 2011,2 February 2011,7 January 2011,7 January 2011,1 February 2011,1 February 2011,7 January 2011,1 February 2011,28 April 2010,15 February 2005,4 August 2009,8 January 2011,8 January 2011,28 April 2010,8 January 2011,28 June 2010,8 January 2011,9 January 2011,9 January 2011,2 March 2011,9 January 2011,9 January 2011,9 January 2011,8 May 2005,23 January 2012,30 March 2005,23 January 2012,31 Juli 2012,28 Juli 2012,28 April 2012,28 Juli 2012,7 January 2011,29 January 2011,12 March 2007,11 January 2011,11 January 2011,11 January 2011,11 January 2011,11 January 2011,11 January 2011,11 January 2011,23 March 2011,11 January 2011,11 January 2011,11 January 2011,11 January 2011,11 January 2011,9 January 2011,9 January 2011,9 January 2011,11 January 2011,29 January 2011,10 January 2011,10 January 2011,10 January 2011,11 January 2011,11 January 2011,25 January 2008,17 February 2008,29 Juli 2012,31 Juli 2012,13 January 2011,7 January 2011,2 April 2011,13 January 2011,30 June 2010,1 November 2010,26 October 2010,2 April 2011,29 January 2011,29 January 2011,6 October 2009,13 January 2010,13 January 2010,13 January 1010,13 January 2010,13 January 2010,13 January 2010,3 March 2011,13 January 2011,13 January 2011,13 January 2011,2 March 2011,15 November 2007,30 November 2007,21 December 2009,14 January 2011,14 January 2011,14 January 2010,2 April 2011,4 February 2011,15 January 2011,30 April 2010,15 January 2011,4 February 2011,4 February 2011,15 January 2011,16 January 2011,15 January 2011,17 January 2010,4 February 2011,17 January 2011,4 February 2011,17 January 2011,4 February 2011,17 January 2011,31 May 2007,31 May 2007,17 January 2011,7 March 2011,7 March 2011,21 Juli 2012,30 January 2011,22 January 2011,22 January 2011,22 January 2011,3 January 2012,15 January 2011,22 July 2012,30 April 2010,10 February 2011,6 May 2010,30 April 2010,2 February 2011,22 January 2011,1 February 2011,4 February 2011,7 April 2008,17 September 2008,10 June 2009,30 April 2010,26 June 2009,30 April 2010,4 February 2011,3 Mei 2012,30 January 2011,22 January 2011,30 January 2011,30 April 2010,30 April 2010,20 January 2011,22 January 2011,22 January 2011,22 January 2011,4 February 2011,4 February 2011,22 January 2011,22 January 2011,14 January 2011,8 April 2011,22 January 2011,18 September 2009,22 January 2011,22 January 2011,22 January 2011,30 January 2011,30 January 2011,30 January 2011,30 January 2011,22 July 2012,30 January 2011,30 June 2009,30 June 2007,30 April 2010,30 April 2010,27 April 2010,29 August 2009,28 Juli 2012,18 January 2011,30 April 2010,30 April 2010,8 March 2006,12 April 2012,18 January 2011,20 February 2008,21 September 2007,30 April 2010,30 April 2010,16 April 2011,19 January 2011,30 April 2010,30 April 2010,21 January 2011,19 January 2011,30 April 2010,30 April 2010,30 Juni 2008,30 Juni 2008,29 November 2011,19 January 2011,1 Februari 2011,1 February 2011,15 August 2011,15 August 2011,21 February 2008,21 Juli 2012,31 Juli 2012,20 January 2011,28 September 2007,2 November 2010,30 Juni 2011,1 Juli 2011,19 December 2011,19 December 2011,30 Juni 2010,30 Juni 2010,26 October 2010,26 October 2010,21 January 2011,21 January 2011,21 January 2011,21 January 2011,21 January 2011,21 January 2011,21 January 2011,4 February 2011,15 February 2011,15 February 2011,15 February 2011,15 February 2011,17 February 2011,16 February 2011,16 February 2011,17 February 2011,15 February 2011,17 February 2011,17 February 2011,22 January 2011,28 February 2008,6 August 2009,22 January 2011,22 January 2011,12 February 2011,12 February 2011,21 January 2011,15 February 2011,16 February 2011,16 February 2011,15 February 2011,14 April 2011,14 April 2011,21 January 2011,23 January 2012,23 January 2012,21 January 2011,21 January 2011,22 October 2008,30 April 2010,22 July 2012,22 January 2022,23 March 2011,22 January 2011,4 February 2011,30 August 2004,17 February 2008,30 April 2010,30 September 2008,4 April 2010,28 Juli 1914,11 November 1918,28 Juni 1919,10 September 1919,27 November 1919,4 Juni 1920,10 Agustus 1920,28 Juli 1914,11 November 1918,28 Juni 1914,11 November 1918,16 Juni 1913,28 Juni 1914,28 Juli 1914,30 Juli 1914,4 Agustus 1914,9 September 1914,30 Agustus 1914,12 September 1914,1 Juli 1916,22 April 1915,15 September 1916,1 Juli 1916,1 Juni 1916,7 Januari 1916,29 Mei 1917,19 November 1916,29 September 1918,26 Oktober 1917,6 November 1918,27 Agustus 1916,6 Desember 1916,9 Desember 1917,9 Maret 1918,27 Maret 1918,7 Mei 1918,10 November 1918,9 Februari 1918,3 Maret 1918,3 Mei 1917,7 Mei 1915,3 Februari 1917,6 April 1917,21 Maret 1918,10 April 1918,5 November 1917,8 Agustus 1918,11 November 1918,29 September 1918,11 November 1918,28 Juni 1919,24 Juli 1923,11 November 1918,23 Agustus 1923,23 Oktober 1911,15 September 1916,30 April 1915,1 November 1914,9 November 1918,28 Juni 1919,3 Mei 1915,8 Desember 1915,1 November 1921,11 November 1918,13 December 2011,20 November 1914,20 September 1914,4 August 1914,9 February 2010,22 August 2009,5 July 2012,11 November 2009,30 October 2007,3 October 2010,27 September 2010,2 August 1914,22 July 1917,8 May 2011,12 December 2008,27 July 2010,29 October 2009,8 August 1918,12 December 2008,17 June 2007,24 October 2009,17 June 2007,3 December 2008,20 November 2009,20 November 2009,6 December 2012,15 February 2010,6 December 2012,13 June 2005,6 October 2007,7 March 2007,17 November 2009,30 March 2008,10 March 2007,10 December 2008,15 June 2010,1 September 1924,15 June 2010,28 October 1915,17 November 2009,22 August 2009,5 December 2009,20 January 2008,12 November 2009,17 November 2009,7 May 2010,17 November 2009,17 November 2009,17 November 2009,28 November 2006,17 September 2000,18 May 2010,12 November 2009,4 July 2008,12 November 2009,15 June 2010,27 July 1918,5 November 1918,22 August 2009,26 April 1916,2 May 2008,22 October 2008,22 October 2008,9 May 2008,31 March 2012,14 August 2009,10 May 2006,4 October 2010,12 June 2005,3 August 2007,2 November 2007,21 April 2009,25 February 2007,27 May 2005,30 December 2008,28 October 1915,26 October 1918,30 October 1918,15 November 1918,28 June 1914,30 December 2008,9 May 1992,28 September 2006,30 December 2008,17 November 2009,18 August 1918,30 December 2008,15 March 1920,5 March 2001,6 February 2008,27 August 2007,18 July 1918,6 November 2009,17 November 2009,31 October 2007,9 November 2011,12 November 2009,12 November 2009,28 July 2005,30 December 2008,30 December 2008,31 Maret 2022,24 Maret 2002,7 Mei 1945,14 Agustus 1945,8 Desember 1941,7 Juni 1942,7 Agustus 1942,9 Februari 1943,17 Me1 1943,22 Februari 2022,28 Juni 1965,30 Agustus 1914,30 Agustus 1914,26 September 2016;30-Apr-10;0;0;1;0
41;Kapan Pertempuran Marne Pertama terjadi?;05-Sep-14;12 September 1914,12 September 1914,6 Januari 2022,12 September 1914,12 September 1914,10 September 1914,17 Desember 2021,17 Desember 2021,17 Desember 2021,24 September 1914,24 September 1914,24 September 1914,6 Agustus 1918,6 Agustus 1918,4 Agustus 1914,11 November 1918,4 Agustus 1914,23 Agustus 1914,18 November 1914,20 Desember 1914,17 Maret 1915,12 September 1914,28 Juni 1914,6 September 1914,9 September 1914;12-Sep-14;0;1;0;0
42;Kapan Septemberprogramm dimulai?;09-Sep-14;9 September 1914,25 Maret 2019,9 September 1914,9 September 1914,9 September 1914,28 Juli 1914,11 November 1918,28 Juli 1914,11 November 1918,28 Juli 1914,11 November 1918,9 September 1914,28 Juni 1914,11 November 1918,28 Juni 1914,11 September 2001,28 Juli 2014,23 June 2022;09-Sep-14;1;0;0;0
43;Kapan Pertempuran Marne Pertama berakhir?;12-Sep-14;12 September 1914,12 September 1914,6 Januari 2022,11 November 1918,28 Juni 1914,28 Juli 1914,11 November 1918,28 Juni 1919,24 Juni 2022,23 June 2022,23 June 2022,11 Nov 2019,28 Juni 1914,11 November 1918,23 Jun 2022,23 Jun 2022,12 September 1914,28 Juni 1914,6 September 1914,9 September 1914,6 Agustus 1918,6 Agustus 1918,10 September 1914,17 Februari 1915,9 Januari 1916,25 April 1915,1 Juni 1916,18 Desember 1916,18 November 1916,20 September 1916,10 November 1917,18 Juli 1918,21 Maret 1918,11 Agustus 1918,25 September 1918,23 Jun 2022,23 Jun 2022,23 Jun 2022,23 Jun 2022,23 Jun 2022,23 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,22 Jun 2022,28 Juni 1914,25 Oktober 1917,6 Maret 1918,9 November 1918,1 Juli 1916;12-Sep-14;1;0;0;0
44;Kapan Pertempuran Ypres Kedua terjadi?;22-Apr-15;25 Mei 1915,23 April 1915,4 Mei 1915,13 Mei 1915,25 Mei 1915,22 April 1915,24 April 1915,6 Mei 1915,10 May 1915,6 Januari 2022,15 Mei 1915,15 Mei 1915,15 Mei 1915,29 October 1917,6 November 1917,12 Oktober 1917,23 February 2007,4 Agustus 1914,11 November 1918,4 Agustus 1914,23 Agustus 1914,18 November 1914,20 Desember 1914,17 Maret 1915,15 Mei 1915,15 Mei 1915,25 Jun 2019,25 Jun 2019,22 April 1915,25 Juni 1915,21 Februari 1915,23 Juni 2013,23 Juni 2022,6 Agustus 1918,6 Agustus 1918,29 October 1917,6 November 1917,12 Oktober 1917,23 February 2007;15 Mei 1915;0;0;1;0
45;Kapan Pertempuran Loos terjadi?;25-Sep-15;25 September 1915,14 Oktober 1915,6 Januari 2022,14 Oktober 1915,25 September 1915,14 Oktober 1915,25 September 2015,25 September 1915,4 Agustus 1914,11 November 1918,4 Agustus 1914,23 Agustus 1914,18 November 1914,20 Desember 1914,17 Maret 1915,29 October 1917,6 November 1917,12 Oktober 1917,23 February 2007,10 Oktober 1914,8 September 1917,8 September 1917,25 Agustus 1914;25-Sep-15;1;0;0;0
46;Kapan Pertempuran Loos berakhir?;08 Oktober 1915;18 Juni 1815,5 Mei 1821,22 Juni 1815,15 Juli 1815,11 November 1918,15 Juni 1888,9 November 1918,9 November 1918,16 Mei 1917,14 April 1917,12 April 1917,11 April 1917,15 April 1917,24 April 1917,29 April 1917,17 Mei 1917,4 Mei 1917,7 Agustus 1916,7 Agustus 1916;09-Nov-18;0;1;0;0
47;Kapan Pertempuran Verdun terjadi?;21 Februari 1916;18 Desember 1916,18 Desember 1916,6 Januari 2022,18 Desember 1916,24 Juni 2022,18 Desember 1916,22 Juni 1941,2 September 1945,23 Juni 2013,24 Januari 2021,18 Desember 1916,01 April 2020,01 April 2020,01 April 2020,01 April 2020,01 April 2020,18 Desember 1916,18 Desember 1916,18 Desember 1916,18 Desember 1916,18 Desember 1916,18 Desember 1916,14 Desember 1916,18 Desember 1916,17 November 1999;18 Desember 1916;0;1;0;0
48;Kapan kemerdekaan Republik Irlandia?;24-Apr-16;24 April 1916,21 Januari 1919,6 Desember 1921,6 Desember 1922,29 Desember 1937,18 April 1949,1 Januari 1973,29 Desember 1937,28 April 2017,13 November 2012,31 Oktober 2017,30 Oktober 2017,31 Desember 2021,21 Januari 1919,11 Juli 1921,23 Maret 2022,06 Desember 2016,6 Desember 1922,1 Januari 1973,21 Januari 1919,21 November 1920,11 Juli 1921,6 Desember 1921,6 Desember 1922;21 Januari 1919;0;0;1;0
49;Kapan Pertempuran Jutland terjadi?;31 Mei 1916;1 Juni 1916,1 Juni 1916,6 Januari 2022,31 Mei 1916,1 Juni 1916,1 Juni 1916,1 Juni 1916,16 Desember 2019,1 Juni 1916,29 Maret 1941,8 Mei 1942,1 Juni 1916,1 Juni 1916,1 Juni 1916;01 Juni 1916;0;0;1;0
50;Kapan Pertempuran Jutland berakhir?;01 Juni 1916;1 Juni 1916,1 Juni 1916,6 Januari 2022,1 Juni 1916,16 Desember 2019,1 Juni 1916,29 Maret 1941,8 Mei 1942,20 Juni 1944,26 Oktober 1944,31 Mei 1916,1 Juni 1916,26 April 2021,1 Maret 1942,4 April 2000,20 Agustus 1914,14 Agustus 1914,1 Desember 1948,27 Mei 1905,28 Mei 1905,17 Maret 2021;01 Juni 1916;1;0;0;0
51;Kapan Pemberontakan Basmachi: Nikolai II mengeluarkan dekret wajib militer bagi penduduk Asia Tengah.?;25 Juni 1916;31 Januari 1918,31 Januari 1918,8 Juni 2021,22 Juni 1941,1 Maret 2017,26 Maret 1918,30 Agustus 1918,13 Mei 1918,28 Juni 1918,11 Juni 1918,28 Juni 1918,1 November 1919,21 November 1918,2 September 1918,13 November 1918,18 November 1918,16 November 1920,2 September 1918,26 Maret 1918,30 Agustus 1918,13 Mei 1918,28 Juni 1918,11 Juni 1918,28 Juni 1918,1 November 1919,21 November 1918,2 September 1918,13 November 1918,18 November 1918,16 November 1920,16 Desember 1872,4 April 1920,8 Agustus 1947,16 November 1874,4 Januari 1920,13 April 1918,16 Mei 1918,16 Januari 1947,25 April 1928,6 Oktober 1929,20 Oktober 2008,8 Oktober 1918,15 Januari 1918,6 Agustus 1924,18 November 1918,15 November 1917,15 November 1918,17 Mei 1919,10 Januari 1920,17 Maret 1920,12 Oktober 1920,11 Agustus 1919,13 Mei 1919,12 Oktober 1919,20 Oktober 1919,1 September 1924,26 Mei 1931;28 Juni 1918;0;1;0;0
52;Kapan Pertempuran Albert terjadi?;01 Juli 1916;13 Juli 1916,13 Juli 1916,6 Januari 2022,13 Juli 1916,13 Juli 1916,13 Juli 1916,13 Juli 1916,13 Juli 1916,13 Juli 1916,13 Juli 1916,13 Juli 1916,14 Maret 2021,14 Maret 1879,28 Juli 1914,5 April 2018,14 Juni 1940,15 Mei 1972,23 Juni 2022,15 Agustus 1871,23 Juni 2013,3 Mei 1815,3 Mei 1815,15 Maret 1815,2 Mei 1815,20 Mei 1815,13 November 1916,18 November 1916;13 Juli 1916;0;1;0;0
53;Kapan Pertempuran Somme terjadi?;01 Juli 1916;1 Juli 1916,2 Juli 1916,18 November 1916,1 Juli 1946,23 Juni 2013,13 November 1916,21 November 1916,6 Januari 2022,22 Juni 2022,21 November 1916,21 Juli 2019,21 November 1916,21 November 1916,1 Juli 1916,1 Juli 1916,21 Juli 1861,1 Juli 1916,2 Juli 1916,18 November 1916,18 November 1916,11 November 1918,10 Oktober 1970,13 November 1916,18 November 1916,11 Oktober 1916,1 Juli 1916,18 November 1916,11 Oktober 1916,18 November 1916,18 November 1916,18 November 1916,1 Juli 1916,29 Juni 2016,1 Juli 1916,18 November 1916,21 Agustus 1916,18 November 1916;18-Nov-16;0;0;1;0
54;Kapan Pertempuran Albert berakhir?;13 Juli 1916;"13 Juli 1916;13 Juli 1916;18 Desember 1916;22 Juni 1941;2 September 1945;24 Juni 1932;3 Agustus 1914;3 Agustus 1914;3 Agustus 1914";03 Agustus 1914;0;0;1;0
55;Kapan Pertempuran Guillemont terjadi?;13 Juli 1916;6 September 1916,6 September 1916,6 Januari 2022,6 September 1916,6 September 1916,6 September 1916,6 September 1916,6 September 1916,13 November 1916,18 November 1916,6 September 1916,6 September 1916,28 September 1916,25 September 1916;06-Sep-16;0;1;0;0
56;Kapan Pertempuran Bazentin Ridge terjadi?;14 Juli 1916;19 Juli 1916,14 Juli 1916,14 Juli 1916,14 Juli 1916,6 Januari 2022,6 September 1916,6 September 1916,6 September 1916,13 November 1916,18 November 1916,28 September 1916,28 September 1916,1 Juli 1916,28 September 1916,28 September 1916,1 Juli 1916,18 November 1916,18 November 1916;28-Sep-16;0;0;1;0
57;Kapan Pertempuran Pozières terjadi?;23 Juli 1916;27 September 1916,27 September 1916,5 September 1916,24 Agustus 1914,28 September 1916,28 September 1916,1 Juli 1916,7 Agustus 1916;27-Sep-16;0;1;0;0
58;Kapan Pertempuran Pozières berakhir?;03-Sep-16;7 Agustus 1916,7 Agustus 1916,27 September 1916,27 September 1916,5 September 1916,7 Agustus 1916,7 Agustus 1916,7 Agustus 1916,7 Agustus 1916,3 September 1916,7 Agustus 1916;07 Agustus 1916;0;0;1;0
59;Kapan Pertempuran Guillemont berakhir?;06-Sep-16;6 September 1916,6 September 1916,6 September 1916,6 September 1916;06-Sep-16;1;0;0;0
60;Kapan Pertempuran Ginchy terjadi?;09-Sep-16;9 September 1916,9 September 1916,14 Januari 2022,9 September 1916,9 September 1916,9 September 1916,9 September 1916,9 September 1916,6 September 1916,6 September 1916,6 September 1916,28 September 1916,25 September 1916;09-Sep-16;1;0;0;0
61;Kapan Pertempuran Flers-Courcelette terjadi?;15-Sep-16;22 September 1916,15 September 1916,13 Juni 2022,22 September 1916,15 September 1916,15 September 1916,22 September 1916,15 September 1916,22 September 1916,15 September 1916,28 September 1916,25 September 1916,28 September 1916,25 September 1916,18 November 1916,18 November 1916;15-Sep-16;1;0;0;0
62;Kapan Pertempuran Morval terjadi?;25-Sep-16;28 September 1916,25 September 1916,6 Januari 2022,28 September 1916,25 September 1916,28 September 1916,25 September 1916,28 September 1916,25 September 1916,28 September 1916,25 September 1916,28 September 1916,25 September 1916,4 Oktober 1944,15 September 1944,18 Desember 1974,15 September 1944,22 Juni 1941,2 Oktober 1941,10 Oktober 1941,7 November 1941,27 November 1942,5 Desember 1941,6 Desember 1941,7 Januari 1942;28-Sep-16;0;0;1;0
63;Kapan Pertempuran Thiepval Ridge terjadi?;26-Sep-16;28 September 1916,28 September 1916,1 Juli 1916,6 Januari 2022,28 September 1916,28 September 1916,1 Juli 1916,18 November 1916,13 November 1916,18 November 1916,27 September 1916,27 September 1916,5 September 1916,18 November 1916,18 November 1916,12 November 2018,27 November 1916,9 April 1917,26 Juni 1918,31 Oktober 1918,4 November 1918,22 Juni 2022,21 Juni 2022,21 Juni 2022,22 Juni 2022,21 Juni 2022,21 Juni 2022,21 Juni 2022,20 Juni 2022,21 Juni 2022,28 September 1916,28 September 1916;28-Sep-16;0;1;0;0
64;Kapan Pertempuran Morval berakhir?;28-Sep-16;28 September 1916,25 September 1916,6 Januari 2022,27 September 1916,27 September 1916,5 September 1916;27-Sep-16;0;0;1;0
65;Kapan Pertempuran Le Transloy terjadi?;01 Oktober 1916;18 Oktober 1813,19 Oktober 1813,19 Oktober 1813,28 September 1916,25 September 1916,18 Oktober 1813,19 Oktober 1813,19 Oktober 1813,19 oktober 1813;19 Oktober 1813;0;1;0;0
66;Kapan Pertempuran Ancre Heights terjadi?;01 Oktober 1916;11 November 1916,6 Januari 2022,18 November 1916,18 November 1916,11 November 1916,13 November 1916,18 November 1916,28 September 1916,28 September 1916,1 Juli 1916,28 September 1916,28 September 1916,1 Juli 1916,27 September 1916,27 September 1916,5 September 1916,18 November 1916,14 Juli 1916,4 Agustus 1914,11 November 1918,4 Agustus 1914,23 Agustus 1914,18 November 1914,20 Desember 1914,17 Maret 1915;18-Nov-16;0;1;0;0
67;Kapan dilakukan sumpah pemuda?;28 Oktober 1928;28 Oktober 1928,24 Juni 2022,28 Oktober 1928,28 Oktober 1928,28 Oktober 2021,28 Oktober 1928,28 Oktober 1928,24 Agustus 1903,17 Oktober 1962,28 Agustus 1902,27 April 1907,27 Oktober 1928,28 Oktober 1928,24 Juni 2022,28 Oktober 2021,28 Oktober 1928,2 Mei 1926,23 Januari 1942,28 Oktober 1928,16 Desember 1959,27 Oktober 2008,27 Mei 2022,27 Oktober 1928,28 Oktober 1928,28 Oktober 2020,28 Oktober 1928,2 Mei 1926,30 April 1926,1 Mei 1926,2 Mei 1926,28 Oktober 1928,2 Mei 1928,12 Agustus 1928,28 Oktober 1928,27 Oktober 1928,28 Oktober 1928,28 Oktober 1928,28 Oktober 1928,28 Oktober 1928,28 Oktober 1928,28 Oktober 1928,27 Oktober 1928,28 Oktober 1928,28 Oktober 1928,28 Oktober 1928,2 Mei 1926,28 Oktober 1928,28 Oktober 1928,28 Oktober 1928,1 Maret 2022,28 Oktober 1928,2 Mei 1928,12 Agustus 1928,28 Oktober 1928,28 Oktober 1928,27 Oktober 1928,28 Oktober 1928,28 Oktober 1928,28 Oktober 1928,28 Oktober 1928;28 Oktober 1928;1;0;0;0
68;Kapan kejadian kapal titanic tenggelam?;15-Apr-12;17 September 1908,31 Maret 1909,31 Mei 1911,2 April 1912,10 April 1912,15 April 1912,14 April 1912,31 Mei 1911,2 April 1912,31 Mei 2009,1 September 1985,19 Desember 1997,31 Maret 2012,26 Juni 1920,15 April 2012,31 Maret 2012,31 Mei 2011,22 April 2012,10 April 2012,8 November 2008,9 November 2008,1 April 2012,24 November 2008,5 April 2012,20 April 1912,30 April 1912,8 November 2010,24 November 2008,21 April 1997,1 April 2012,19 April 2011,1 April 2012,1 April 2012,1 April 2012,19 November 2006,19 April 2011,1 April 2012,1 April 2012,15 April 2009,29 April 2022,15 April 2021,23 Juni 1972,15 April 1912,10 April 1912,14 April 1912,14 April 1912,22 Juni 2022,24 April 2021,15 April 1912,11 April 1912,14 April 1912,14 April 1912,26 Agustus 2021,15 April 1912,15 April 1912,1 Maret 1971,01 April 2020,01 April 2020,01 April 2020,01 April 2020,01 April 2020,18 Juni 2022,15 April 2021,15 April 1912,15 April 2022,15 April 1912,07 Mei 2021,16 Mei 2022,31 Agustus 2022;15-Apr-12;1;0;0;0
69;Kapan Pertempuran Verdun berakhir?;18 Desember 1916;18 Desember 1916,18 Desember 1916,6 Januari 2022,18 Desember 1916,22 Juni 1941,2 September 1945,23 Juni 2013,18 Desember 1916,24 Juni 2022,18 Desember 1916,18 Desember 1916,18 Desember 1916,14 Desember 1916,18 Desember 1916,18 Desember 1916,18 Desember 1916,18 Desember 1916,24 Januari 2021,18 Desember 1916,01 April 2020,01 April 2020,01 April 2020,01 April 2020,01 April 2020,18 Desember 1916,2 September 1945;18 Desember 1916;1;0;0;0
